Sample	minDP	N_variants_by_WGS	N_variants_by_ATAC	N_overlap_variants_by_ATAC	Recovered_percentage	Correctly_performance_percentage	Sens_AA	Sens_AB	Sens_BB	Spec_AA	Spec_AB	Spec_BB
HG00096	2	6569664	1983917	1430876	0.30198150164148424	0.2178004841647914	0.9512075666243655	0.2575446862008016	0.9231056038824559	0.726565416756595	0.9895677646918156	0.6187619922926845
HG00101	2	6569628	2196204	1577275	0.33429655377747414	0.24008589223012322	0.9503343735273445	0.24695449089775542	0.9199872237267406	0.7265709070600574	0.9900139419425773	0.6110538932144813
HG00102	2	6569573	2220926	1611173	0.33806245854943695	0.24524775050067943	0.9509088163615038	0.261568983952711	0.9267708217953117	0.7350099888168681	0.988514475053631	0.6137302890756663
HG00103	2	6569561	1998111	1433219	0.3041468067653227	0.2181605437562723	0.9498943898394999	0.24074439032630424	0.9192908655628962	0.7274263159393828	0.9876605001251275	0.6098483059386611
HG00105	2	6569555	1589374	1133206	0.24193023728395607	0.17249357072130456	0.9502666890969185	0.23228776362273845	0.9228143584830101	0.7245255188076007	0.98922404860783	0.6037035495410351
HG00106	2	6569584	1905160	1373776	0.2899970530858575	0.20911156627268943	0.9524578689495504	0.2528721818187724	0.9246176188857647	0.7266706322780225	0.9903384407935327	0.6207453075991172
HG00107	2	6569493	1993893	1445799	0.3035078962714474	0.2200777137596463	0.9506080080248082	0.2579109075050487	0.9276458532422183	0.7342126464632153	0.9905836904690046	0.6157106555447848
HG00108	2	6569521	1371221	959656	0.20872465435455645	0.14607701231185652	0.948481144977532	0.19199940087417905	0.9184862225322636	0.7156739737701814	0.9880988530985028	0.5912960494000421
HG00109	2	6569580	1773473	1270541	0.26995226483275947	0.19339759923769861	0.9508203628267758	0.2422455072660105	0.9278648509763617	0.725974725207745	0.9908006620681816	0.607946465357983
HG00111	2	6569505	1969204	1405425	0.29974922007061416	0.2139316432516605	0.9485450649606905	0.22719687171385983	0.924666650606473	0.7220636319995652	0.9885168060246968	0.6143010898964518
HG00112	2	6569515	1929871	1363874	0.29376156382929336	0.20760649758772146	0.9476457724027086	0.20706475373003105	0.9200368513389016	0.7163767934968717	0.9874836946394187	0.6103829038726102
HG00113	2	6569654	2045032	1481171	0.3112845821104125	0.22545647000587854	0.9502280464594399	0.258957716685816	0.9310090770633065	0.7299169800109281	0.9904542941125113	0.6226739950996623
HG00114	2	6569509	1236888	863172	0.18827708433004658	0.13139064121839242	0.9476238223163949	0.17961446139639767	0.9131733541024557	0.7140231856718773	0.9837652811735942	0.5943925811437404
HG00115	2	6569620	1899872	1372577	0.2891905467896164	0.2089279136388406	0.9512741407587767	0.2542293631191716	0.9331345222070557	0.7280111471747773	0.9923182092779244	0.6210227296568103
HG00116	2	6569448	1325522	922818	0.20177068149409205	0.14047116287395836	0.9443688486690006	0.17988570665980336	0.9109172249549289	0.7137044169721066	0.9741882195033813	0.5903908183932188
HG00117	2	6569502	1200194	855752	0.18269177785469887	0.13026131965558424	0.9550190999299293	0.19729900992216806	0.9233447287110329	0.7323745211510698	0.9902972555861236	0.6004660186847708
HG00118	2	6569777	1980696	1433992	0.30148603217430364	0.21827103111719012	0.9522316161229631	0.26314777335783684	0.9324885756145401	0.7287455290071154	0.9917296924497645	0.621949066159415
HG00119	2	6569540	2033250	1477213	0.30949655531437514	0.22485790481525342	0.9510043462485622	0.2620892796472721	0.9303857931603753	0.7331089298931418	0.9903510453518296	0.6237611309553756
HG00120	2	6569558	1814682	1305081	0.2762258891694084	0.19865583042268598	0.9498907792526133	0.2496990960948981	0.9274621892659981	0.726258762222331	0.9899895907966421	0.6160890009525897
HG00121	2	6569512	2135889	1545536	0.3251214093223363	0.2352588746317839	0.9490576775686976	0.25370922285685665	0.9261159045193547	0.7323615723466843	0.9869392293056415	0.6183484277934577
HG00122	2	6569690	1948361	1396738	0.2965681790160571	0.2126033344039064	0.9500312601797916	0.2500109861135525	0.927886835133167	0.7248056361465441	0.9896437757041859	0.6089234948897628
HG00125	2	6569583	1936604	1388108	0.29478339797213915	0.2112931673136636	0.9487308707873144	0.23768579294531775	0.9253784984491605	0.7280413094716561	0.9858155078423231	0.610173710612418
HG00126	2	6569564	2175931	1579016	0.3312139131303082	0.24035324109788717	0.9511217610223436	0.2656000734526173	0.9198584774311906	0.7304928652343521	0.9906094996548791	0.6234787548410614
HG00127	2	6569571	1893684	1367894	0.28825078532525183	0.2082166400210912	0.9504959246811179	0.2532939708939709	0.9135628974911112	0.7288026328647851	0.9879084310151339	0.6201877006563361
HG00128	2	6569547	2053699	1467754	0.31260892113261385	0.22341783992107828	0.949108866527797	0.23945367997959952	0.9121568106004984	0.7213968489524647	0.9884088118092278	0.6138691868042938
HG00129	2	6569583	2488708	1808167	0.3788228263498612	0.2752331464569365	0.9491901521370778	0.2708774046770615	0.9180606089620835	0.7308960912797483	0.9895173769106796	0.6239815308924783
HG00130	2	6569511	1810030	1293969	0.27551974568579	0.19696580156422602	0.9489567901969335	0.24376806234676968	0.9134824052507595	0.7207679542889831	0.9877692601200181	0.61378278621009
HG00131	2	6569566	2382215	1722962	0.3626137556118623	0.26226420436296705	0.9493479861054694	0.26059663497976493	0.9173632809101597	0.7276370683034796	0.9904990613891441	0.6234087837837838
HG00132	2	6569706	1723791	1238805	0.26238480078103954	0.18856323250994794	0.9500118711014224	0.2408132445378624	0.9258065508437211	0.727894264998999	0.9892995093433553	0.6145221484884579
HG00135	2	6569569	2332684	1683871	0.35507413043382297	0.25631377035540687	0.9496726725569409	0.25472802677726064	0.9266344286051985	0.7304693289684816	0.9898793082898467	0.6134051567977439
HG00136	2	6569540	1861274	1340499	0.2833187711772818	0.20404761977246505	0.9508363963063798	0.24741745506665525	0.9216903498587964	0.731215081206122	0.9855857301402651	0.6095855349716766
HG00137	2	6569545	2413930	1752035	0.3674424941148892	0.2666904633425907	0.9476812521866994	0.2691036959681996	0.9217476385617758	0.7343895637224156	0.9865435494060257	0.61431285518729
HG00138	2	6569595	1796583	1291816	0.27346936911636105	0.19663556124844833	0.9501206942543413	0.2475599840849724	0.923710932999786	0.7273488865678437	0.9891550775526003	0.6140078723446153
HG00140	2	6569566	2245304	1626377	0.3417735661686023	0.2475623199462491	0.9499117489398977	0.26096867832965864	0.9294991661191692	0.7309191778350532	0.990215243620465	0.6196227097588697
HG00141	2	6569691	2179173	1575403	0.3317009886766364	0.2397986450199865	0.9503792790134685	0.2626456716138529	0.9247697591494761	0.7274881565688135	0.9915414389190174	0.621070242098246
HG00142	2	6569599	2373667	1736268	0.3613107892886613	0.26428827695571677	0.9492509625248124	0.29499560905218714	0.9289224572004028	0.733785296334414	0.9883731982994021	0.6269080726936618
HG00143	2	6569647	2224209	1612980	0.33855837307544834	0.24552004087890872	0.9501225682962565	0.27098594749149424	0.9266368337150117	0.7298371467729049	0.9911532673628528	0.620452932284113
HG00145	2	6569564	1735855	1235357	0.2642268193140367	0.18804246370078745	0.9472547559406946	0.2295120431001132	0.922926387129335	0.7209841978701477	0.9883459052555262	0.6084594647816551
HG00146	2	6569559	3413043	2550870	0.5195239132489715	0.3882863370281019	0.9478091874216271	0.33767613433449817	0.9356988090879951	0.7470367915448454	0.9890210284642945	0.6414993058991368
HG00148	2	6569554	2470920	1806643	0.37611685663897426	0.2750023822012879	0.949755944936146	0.2866699013504597	0.9330830452842246	0.7344861406383045	0.9907789800405225	0.6270592005413662
HG00149	2	6569644	2044830	1472137	0.3112543084526346	0.22408170062182975	0.9489695582478029	0.2533527360572006	0.9238669885468508	0.7307040293456976	0.9892345064581112	0.6074691196096941
HG00150	2	6569506	1778960	1281009	0.2707905282375874	0.19499320040197848	0.9489811342404874	0.2492111353868634	0.9265732875713926	0.7301294370912647	0.9856284603604665	0.6125140433136307
HG00151	2	6569538	2121775	1546693	0.3229717219079941	0.2354340594422317	0.9495011334116518	0.2684054407952754	0.9276609561764044	0.735110861233974	0.9876807595863357	0.6264418761115682
HG00152	2	6569498	1599314	1137406	0.24344538958684514	0.17313438561059002	0.9492429016708964	0.2139327955874015	0.9208438893252647	0.7245562031269153	0.9849828544401088	0.605310172133353
HG00154	2	6569459	1958226	1427958	0.2980802528792706	0.21736310402424308	0.9499617880597402	0.2675705416020755	0.9307935972635408	0.7365107371797348	0.9887979293681842	0.6241134179014377
HG00155	2	6569561	2052963	1472596	0.3124962231114073	0.22415439935788709	0.9491607391714512	0.23766363017028663	0.9262492431220962	0.7249162576074809	0.9890589421741309	0.6175804285184009
HG00156	2	6569563	1782742	1280333	0.27136386392823997	0.19488860979033157	0.948939797855602	0.2460514884162426	0.9223704487279946	0.7270441508976822	0.9892260009698708	0.6141196367161856
HG00157	2	6569604	2281576	1655942	0.3472927744198889	0.252061159241866	0.9505001129760301	0.2704516031486539	0.9307773613409673	0.7319504648486245	0.9902526790304085	0.6187984411644188
HG00158	2	6569499	2032028	1461205	0.3093124757306455	0.22242259265128134	0.949862581452954	0.2535333725468256	0.9284666491542383	0.7273777021155332	0.9892386206082775	0.6107890117742086
HG00159	2	6569568	2017603	1461429	0.3071134966560967	0.2224543531629477	0.9506629693904068	0.26161705894829385	0.9296581866160887	0.7309321970479329	0.9903131781502533	0.619622484473025
HG00231	2	6569584	1938840	1398361	0.2951237095073295	0.21285381235706857	0.9499707520073839	0.25511550363422647	0.9261046052490067	0.7312092979777521	0.9868848402363203	0.610740159075941
HG00232	2	6569418	1685129	1216280	0.25651115517386774	0.18514273258300812	0.9362087093418796	0.252896014385354	0.89328915994931	0.7409922238035097	0.9163051054810305	0.6078227365800588
HG00233	2	6569511	1591242	1141355	0.24221620147983616	0.17373515319481161	0.9509992570579495	0.2451499493747834	0.9270500672030431	0.7266102175969725	0.9874531148870468	0.6098871190606966
HG00234	2	6569501	1761531	1261586	0.26813771700468575	0.19203680766621392	0.9497535251377557	0.24361252685338708	0.9257326715217598	0.7247673192777502	0.9892360740819737	0.6101696809069314
HG00237	2	6569657	1900814	1362772	0.2893323045632367	0.20743426939945267	0.951295600292735	0.23948530792531086	0.9248086335328259	0.7305021621930543	0.9895153019916878	0.602407633643555
HG00238	2	6569642	1834230	1321450	0.2791978619230698	0.20114490256851134	0.9501207295034474	0.2561929519248035	0.9288317103950889	0.7269395315723901	0.9896984745444055	0.6170364223856052
HG00239	2	6569643	1850856	1337739	0.2817285505468105	0.20362430652624502	0.9504611313924757	0.24961450771238466	0.9308145394985511	0.7305658327903637	0.9907490762512596	0.6211887119659467
HG00242	2	6569588	1799941	1293084	0.27398080366683575	0.19682878134823675	0.9503100194372958	0.2521794142270923	0.9159105126152729	0.7246532817855046	0.9884172225591268	0.6135744057677143
HG00243	2	6569666	1657244	1180394	0.2522569640526626	0.17967336543440718	0.9501396548867376	0.23978824050253816	0.9085918758850146	0.7183283972047494	0.9907312049433573	0.6094989255714006
HG00244	2	6569587	1325405	930690	0.2017486030704822	0.14166643961028297	0.9496800383390184	0.2106061237435121	0.9128223822108813	0.7127409266594139	0.9893208634658257	0.5972683933251244
HG00245	2	6569485	1835968	1316294	0.27946909080392146	0.2003648687834739	0.9503443381460628	0.25345326536217416	0.9133469259723965	0.7220644305776043	0.9887820303414392	0.6140759796221889
HG00246	2	6569590	2233590	1607584	0.33998925351505954	0.24470081085729856	0.9475906406466156	0.2621324993363419	0.9156943374058885	0.7237635883593669	0.9863332258165208	0.618029310451442
HG00255	2	6569658	1694196	1212960	0.25788191714089226	0.1846306154749608	0.9510019620939171	0.23641326948347782	0.914045312842114	0.7215118628792654	0.9893419546452991	0.6199271647279284
HG00262	2	6569560	1722141	1235716	0.2621394735720505	0.18809722416721972	0.9508578630392666	0.2502350575645717	0.922731481803814	0.7285944761238748	0.9891463793054811	0.6034752041090463
HG00263	2	6569533	2351806	1723263	0.3579867853620646	0.2623113393295992	0.9495269002838598	0.2812323331448869	0.9313742776968922	0.7383094395733328	0.988499175164967	0.6278313964939926
HG00264	2	6569512	1306711	928135	0.1989053372609716	0.14127913915067056	0.9534399054465481	0.22261068120071723	0.9144152689415848	0.7308822416272717	0.9888782499815865	0.5817139291327921
HG00265	2	6569573	2376024	1748204	0.36167099444667106	0.26610618376567247	0.9496110227892368	0.2877789782783055	0.9316952009225583	0.7404794138829549	0.9890693700877093	0.6330604249334472
HG01789	2	6569556	2492241	1824426	0.3793621669409622	0.2777091785198269	0.9506221356299953	0.2872370221288071	0.9316776535529284	0.7381747225157508	0.9897512544037579	0.6226623134180151
HG01790	2	6569536	1865971	1344101	0.2840339104618652	0.20459603235296983	0.9499135319145366	0.2447158171945671	0.9262942740615271	0.7295575802876437	0.9896757366226074	0.6153781676372407
HG01791	2	6569523	2132095	1557826	0.3245433496465421	0.2371292405856559	0.951597985251066	0.27533403546392476	0.932431945695089	0.7369059463096049	0.9897760927555714	0.6249510216284775
HG02215	2	6569448	2127837	1551670	0.323898902921524	0.23619488273596198	0.9505302973436616	0.2652334319930246	0.9295572191802448	0.736955400062314	0.9903219019566589	0.6235717072626944
