Sample	minDP	N_variants_by_WGS	N_variants_by_ATAC	N_overlap_variants_by_ATAC	Recovered_percentage	Correctly_performance_percentage	Sens_AA	Sens_AB	Sens_BB	Spec_AA	Spec_AB	Spec_BB
HG00096	4	6569664	593724	510024	0.09037357161644796	0.07763319402636117	0.9533562277196341	0.6505296909873943	0.9776067758095337	0.8513280481791311	0.9899461829778752	0.753690933125229
HG00101	4	6569628	661974	563811	0.10076278291556234	0.0858208409973898	0.9533687748384596	0.6213107773860043	0.9781382031169849	0.8456208134186107	0.9905420763193422	0.7433725545789623
HG00102	4	6569573	704221	602810	0.10719433363477353	0.09175786615050932	0.9527419267004302	0.6357190418773733	0.9781154909192366	0.8518619507634777	0.9891494574728736	0.7448130713920554
HG00103	4	6569561	577538	492426	0.08791120137251181	0.07495569338651395	0.9514192539349772	0.6281934556782905	0.9767903528964541	0.8479527134036029	0.988009592326139	0.7433981066268062
HG00105	4	6569555	433473	371704	0.0659820946776456	0.05657978356220474	0.950977190683027	0.6463223673717939	0.978022283348615	0.853336437493979	0.9892920550377274	0.7471477845582383
HG00106	4	6569584	566443	487119	0.08622204998063804	0.07414761726161048	0.9536993249031904	0.6488303963780017	0.9788349699685385	0.8524698127193977	0.9906979108422711	0.7577556727323421
HG00107	4	6569493	608204	523115	0.09258005145906997	0.079627910403436	0.952404098045033	0.6478709717907685	0.9790926155197891	0.8552899727614658	0.9908102790507954	0.7522168696879507
HG00108	4	6569521	293468	250282	0.04467114116843526	0.03809745033161474	0.950719239829962	0.63174753315992	0.9766443839234134	0.8486516332536433	0.9882467674406874	0.7425021960095369
HG00109	4	6569580	496461	425859	0.07556967112052826	0.06482286538865498	0.9519992156093735	0.6489927689175856	0.9794453186467349	0.8513677033316615	0.9905832118110162	0.7485929586860725
HG00111	4	6569505	503682	430052	0.0766697034251439	0.06546185747632433	0.951515522064106	0.630492747776426	0.9778281683043588	0.8475548944657937	0.9886723074489957	0.7496205954581827
HG00112	4	6569515	444313	376543	0.06763254212830018	0.05731671211649566	0.9512208890799582	0.6113988526850456	0.9758004618438644	0.8400251566538582	0.9876177067946824	0.7457761814822842
HG00113	4	6569654	606273	523025	0.09228385543591794	0.0796122596410709	0.9522747376526515	0.6577493033309894	0.9808419158084192	0.856507106102147	0.9907731416824894	0.7580621478968478
HG00114	4	6569509	238578	203581	0.03631595603263501	0.030988769480337117	0.9500125130175747	0.6327616399534803	0.9720300751879699	0.8498949177758679	0.983441369567024	0.7460900679068156
HG00115	4	6569620	542425	468444	0.08256565828769397	0.07130458078245012	0.9522991727334074	0.6628554608365415	0.9818151203906381	0.8563892295935732	0.9925760116156466	0.75876397768775
HG00116	4	6569448	257784	218511	0.039239826542504026	0.03326169869979943	0.944314111014292	0.6245320905327351	0.9702346212209642	0.8469873079492318	0.9753009949285741	0.7365921094608486
HG00117	4	6569502	276859	237693	0.04214307264081813	0.036181281320867245	0.9559186040891295	0.6292732783534222	0.9790041352261585	0.8566557758471325	0.990953490953491	0.7504615937648078
HG00118	4	6569777	604263	521576	0.09197618123111333	0.07939021370131741	0.9535848922742532	0.6609924911228271	0.9811151168945302	0.8550073009585218	0.9921253142525623	0.7607226098201219
HG00119	4	6569540	626233	539522	0.09532372129555494	0.08212477585949701	0.9534310084428929	0.6520434056592828	0.9801807470113825	0.8545089413259291	0.9908542428493672	0.7600851611186268
