Sample	minDP	N_variants_by_WGS	N_variants_by_ATAC	N_overlap_variants_by_ATAC	Recovered_percentage	Correctly_performance_percentage	Sens_AA	Sens_AB	Sens_BB	Spec_AA	Spec_AB	Spec_BB
HG00096	5	6569664	362437	324898	0.0551682704016522	0.04945427954915198	0.9521620610401411	0.7679762978230066	0.9804590676038165	0.8950994136179321	0.9896417781614156	0.7904923552842301
HG00101	5	6569628	389767	346879	0.05932862560863416	0.05280040209278212	0.9527587926432196	0.7409675494035598	0.9816410223804679	0.8888012222652955	0.9900802971540941	0.7820608608659313
HG00102	5	6569573	426533	381034	0.06492552864546905	0.05799981216435223	0.9521573757565711	0.7533551664714615	0.9806423673763984	0.8937802262500526	0.9885274626310483	0.7845841129050886
HG00103	5	6569561	344844	307171	0.052491178634310576	0.04675670109463935	0.9505544901192362	0.7492333053977142	0.9795089238193238	0.8915815927505553	0.9873657382122701	0.7814167433302668
HG00105	5	6569555	268558	240120	0.04087917674789236	0.036550420842812036	0.9490520217051359	0.7640102105337112	0.9806700159956744	0.896503134721551	0.9887708557486854	0.7819674487119607
HG00106	5	6569584	349386	313479	0.053182362840630396	0.04771671996278608	0.9526354936832523	0.7663586716929527	0.9824555362338803	0.8957312331355264	0.9905227048084191	0.7948460788410642
HG00107	5	6569493	374768	335866	0.057046715781567926	0.05112510204364325	0.9513531454248366	0.763460066343455	0.9816323869748036	0.8974095909677668	0.9905754077736332	0.7869013090852082
HG00108	5	6569521	167438	149720	0.025487094112340916	0.022790093828758597	0.9497145493339485	0.7631023699182397	0.9788434414668548	0.8959697952255565	0.9875179794729272	0.7842262335931388
HG00109	5	6569580	301230	269699	0.04585224626231814	0.04105270047704724	0.950984569694622	0.7674583226468326	0.9816637675227669	0.895194569200756	0.989838043823436	0.7849486999067271
HG00111	5	6569505	280204	250250	0.042652224178229566	0.038092672126743186	0.95045612689368	0.7564026815134643	0.9792559871811528	0.8932557510845638	0.9879201602730578	0.7870929564717963
HG00112	5	6569515	232101	206494	0.03533000533524926	0.03143215290626477	0.9511252953123057	0.7429968142370647	0.9798923451167124	0.8872829911456521	0.9867420443147624	0.7896602782006632
HG00113	5	6569654	366846	329842	0.05583947038915596	0.05020690587358177	0.9512362745458075	0.7735352262230548	0.9831611364991059	0.9000868723472908	0.9899463066486952	0.7929146580848478
HG00114	5	6569509	133167	119227	0.020270464657252164	0.018148540476921486	0.9490051371101946	0.7685494652406417	0.974519707765852	0.8981730031773858	0.9825423470166336	0.7890528007010882
HG00115	5	6569620	328395	295831	0.049986909440728686	0.04503015395106566	0.9510273689676741	0.7809161687488684	0.9843506926438995	0.9007343900203438	0.9924308482294241	0.7944961808098776
HG00116	5	6569448	142372	126691	0.021671836050761038	0.019284877511778768	0.9440518018927615	0.7590137084651455	0.9733395696913003	0.894728112480543	0.9763629541978124	0.7800647469756347
HG00117	5	6569502	162045	145418	0.024666253241113253	0.022135315584042747	0.9542269638393014	0.7575727080607829	0.9814412490333984	0.8999867165533884	0.9902396674646813	0.7909840930674265
HG00118	5	6569777	372140	334565	0.05664423617422631	0.050924863964180216	0.9521361173295395	0.7745505998978541	0.9834349345688044	0.8977600015781583	0.9916708651794999	0.795110731418808
HG00119	5	6569540	382992	343848	0.058298145684477144	0.05233973763764282	0.9526587764627438	0.7670795144909587	0.9826957678166315	0.8965132032419841	0.9906164361651081	0.7966035055678158
HG00120	5	6569558	322700	289942	0.04912050399737699	0.04413417158353728	0.9501704930214719	0.7756577214597173	0.9810945646873476	0.9003992208662468	0.9897804222266481	0.7893347014531243
HG00121	5	6569512	377234	337990	0.057421921141174566	0.05144826586814972	0.9502019322342923	0.7664325180243919	0.978874712403263	0.897314429171917	0.9870700408942499	0.7889106445882338
HG00122	5	6569690	341897	306654	0.05204157273783085	0.04667708826443866	0.9510297378486374	0.7720731762676472	0.9803085992293897	0.8971398766474343	0.9895045495799493	0.7888946044810242
HG00125	5	6569583	323251	288439	0.04920418845457923	0.04390522199049772	0.9490814720476746	0.7566054020125145	0.9794991518777245	0.8931919175929172	0.9854504113228757	0.7887177077060905
HG00126	5	6569564	427177	382604	0.06502364540477877	0.058238872473119985	0.9528875721051332	0.75950101106221	0.9822031473533619	0.895321568362802	0.9907194600413115	0.7894216396458549
HG00127	5	6569571	355489	318857	0.05411144806867907	0.048535437093228766	0.9501960658266907	0.7669199521236081	0.9793962380195786	0.8988522056401551	0.9871844252249729	0.7909681692123018
HG00128	5	6569547	346856	309534	0.05279755209910211	0.047116490680407644	0.9492518463608159	0.7550232769072719	0.9793276184428688	0.8946210850980149	0.9880697164589465	0.781372700789507
HG00129	5	6569583	493049	439728	0.07505027335829383	0.06693392868314472	0.9511166435361474	0.7504043056939179	0.9803098287920187	0.8908522101848096	0.9890102394898159	0.7854331104014782
HG00130	5	6569511	312771	280250	0.047609479609669575	0.042659187266753947	0.9488944871105024	0.7702991994967686	0.9780120006316122	0.8983270622286541	0.9866793159016478	0.7855976408288808
HG00131	5	6569566	440717	393918	0.06708464455642885	0.0599610385221794	0.9516338796161474	0.7543176541655446	0.9816203581317046	0.8932514093360912	0.9906047196230419	0.7881143878462913
HG00132	5	6569706	291694	261619	0.04439985594484746	0.039822025521385584	0.9503287361040302	0.7700989135722394	0.9807915939862115	0.8987876814407555	0.9880854959290956	0.7884580071114969
HG00135	5	6569569	423006	376950	0.06438869886289345	0.05737819330309188	0.951239785155103	0.748792451698068	0.9809395540851132	0.8909607101452954	0.9897785180338271	0.7810219828892463
HG00136	5	6569540	333500	298035	0.05076458930153405	0.045366190022436886	0.9511007376671277	0.7591271983407677	0.9787824743973965	0.8947896334851442	0.9853349723417333	0.7862206468763846
HG00137	5	6569545	480393	428497	0.07312424224204264	0.06522476061888609	0.9486711477569418	0.7547281441743281	0.9802545482538297	0.8934020395122808	0.9862743565018721	0.7822806065508309
HG00138	5	6569595	318912	285836	0.04854363168505821	0.04350892254393155	0.9505435772851503	0.7684267506520348	0.9806293560210418	0.8969807773867792	0.9886416876654046	0.7888690285225415
HG00140	5	6569566	416225	372342	0.06335654440491198	0.0566768033078593	0.9513550851622116	0.7612605815515082	0.9817879576915721	0.8941431235512488	0.9903418627248903	0.7867010868283942
HG00141	5	6569691	415273	372492	0.06321043105375884	0.056698557055423156	0.952525346048794	0.7643117962507449	0.9829424930877598	0.8966531572754608	0.9915760681050118	0.7914134275618374
HG00142	5	6569599	538525	481820	0.08197227867332542	0.07334085383293562	0.9517013437364543	0.7630594645763827	0.9811847714243715	0.8928458871730224	0.9882040740048589	0.7913022861363657
HG00143	5	6569647	435605	390497	0.06630569344136755	0.05943957110633189	0.9515230369573779	0.7676983050117379	0.9819755788994868	0.8956730388705827	0.9909095963527188	0.788271943037108
HG00145	5	6569564	272426	244086	0.04146789649967639	0.037154063800885415	0.9466227556734038	0.7750992362868219	0.977983178158593	0.9007777531724143	0.9879576891781936	0.7791693542607324
HG00146	5	6569559	915290	818218	0.1393228982341128	0.12454686836665901	0.9511140489743676	0.758258108632829	0.9831020643354395	0.8920906777134304	0.9892985075296006	0.7897719932825217
HG00148	5	6569554	511956	459152	0.07792857779995416	0.06989089365883894	0.951079916061242	0.7706724126387038	0.9817844976991573	0.8960032830175213	0.9906887944727432	0.7904025095503402
HG00149	5	6569644	389413	346714	0.059274596918798036	0.052775157984207365	0.950571680731434	0.7498783336577769	0.9796396592125887	0.8911681308975968	0.9891510190980581	0.7811007448835655
HG00150	5	6569506	326005	291493	0.049623974770705744	0.0443706117324499	0.9487457869776598	0.764521117232048	0.9790346083788707	0.8967393449370479	0.9842970373411972	0.7871735914822572
HG00151	5	6569538	410849	368350	0.06253849205225695	0.05606939178980318	0.949787852504747	0.768449272227201	0.9806952641005314	0.897891615659751	0.9873828621346887	0.7906616167593798
HG00152	5	6569498	230807	206712	0.03513312584918969	0.03146541790559949	0.9478856188687121	0.7682970813450227	0.9779426869350862	0.899356770544527	0.9843247374126931	0.7884766676328102
HG00154	5	6569459	385874	345944	0.05873756119035068	0.052659435122435504	0.9501415153412649	0.7665220005105864	0.9819345880900956	0.8974223097013513	0.9876173802323731	0.7928671973292475
