Sample	minDP	N_variants_by_WGS	N_variants_by_ATAC	N_overlap_variants_by_ATAC	Recovered_percentage	Correctly_performance_percentage	Sens_AA	Sens_AB	Sens_BB	Spec_AA	Spec_AB	Spec_BB
HG00096	9	5977376	121772	118565	0.02037214991996488	0.019835626870385935	0.9969697447956946	0.9278469636667095	0.9900852768930443	0.9656653672705037	0.9927197802197802	0.9657263115698752
HG00101	9	5976840	108679	105845	0.018183354414707437	0.01770919080985939	0.9972903965400448	0.9258540600929029	0.9916335127545051	0.9655270990633461	0.9935952042908976	0.9675743563395559
HG00102	9	5977791	125869	122663	0.02105610584244247	0.02051978732612097	0.9974777804467931	0.9281380405007552	0.9895049504950495	0.9671174252900333	0.9925532497399113	0.9682232125557062
HG00103	9	5977588	108970	105862	0.01822976090021594	0.01770981874294448	0.9964327973828914	0.9207007024659789	0.9886149093197552	0.9648357203032856	0.9909211691762622	0.9595735228787206
HG00105	9	5977285	103265	100350	0.017276238292134306	0.01678855868508863	0.9971441205733869	0.9195302574907818	0.9911472664194282	0.9645677009998752	0.9932724169093282	0.9588565476534923
HG00106	9	5977220	122670	119549	0.020522918681259848	0.020000769588537814	0.9979342723004695	0.9269778460417046	0.9913052021417694	0.9662989453267062	0.9947480165381607	0.9663825304089647
HG00107	9	5978455	124917	121771	0.02089452877039302	0.02036830585828613	0.9978262182235372	0.927161739220403	0.9916050369778133	0.9677324900445069	0.994644541872468	0.9644714459295262
HG00108	9	5978305	58727	57279	0.009823352940340114	0.009581143819192898	0.9966078697421981	0.9318955109208649	0.9901580986284159	0.9685714285714285	0.991243943727745	0.9703468089472604
HG00109	9	5976951	105556	102816	0.017660509513964563	0.017202081797224038	0.9976342559735036	0.9274593064401981	0.9916731564128677	0.9661790623898484	0.9944353104843809	0.9631138003258087
HG00111	9	5978625	78174	76163	0.013075581760020072	0.012739216793158962	0.9966666666666667	0.9290449300270072	0.9893162393162394	0.967157765500307	0.9917875240258606	0.9669709158415841
HG00112	9	5978315	55423	54009	0.009270672421911525	0.009034150927142515	0.9955566271700192	0.9321426507138316	0.9878987898789879	0.9664615796161306	0.9893865030674847	0.9742866442443311
HG00113	9	5978146	120127	117298	0.020094357013027114	0.019621133374795464	0.9975959637496639	0.9320698067179584	0.9932642751441547	0.9691619802710427	0.9944512770643251	0.969275968529031
HG00114	9	5978720	47412	46137	0.007930125511815237	0.0077168691626301284	0.9940683740130656	0.930272341590256	0.9871288390467695	0.9685645110902843	0.9855734377265478	0.9670411985018726
HG00115	9	5977781	112930	110338	0.018891625504514134	0.01845801979028673	0.9983945651806536	0.9336012138923232	0.9935050638485249	0.9687305283179746	0.996759967599676	0.969856536456934
HG00116	9	5978867	47988	46718	0.008026269860159124	0.007813855033068974	0.9933566571013012	0.9336265223274696	0.9849401467370318	0.9687559900325857	0.9829047652966736	0.9730417090539166
HG00117	9	5978294	59269	57784	0.009914032330962646	0.009665633707542653	0.9979330301777594	0.9273832550428295	0.9895137246838697	0.9682813946312866	0.9936641402179062	0.9652993681676862
HG00118	9	5976612	125683	122630	0.02102913824755564	0.02051831372021473	0.9981328721629604	0.9307361472294459	0.9928255528255528	0.96721044045677	0.9954801957690353	0.9684593998657847
HG00119	9	5977060	123834	120600	0.02071821263296671	0.020177143947024124	0.9976259480791762	0.9254201409505124	0.9912996193583469	0.965520328235733	0.9937075537075537	0.9671553969325745
HG00120	9	5976920	119016	115911	0.019912597123602122	0.019393098786666042	0.9976262167630519	0.9250963585887173	0.9914342421393503	0.9666712977971256	0.9942353929492194	0.9627713532156624
HG00121	9	5978357	120333	117391	0.02012810543097376	0.019635996980441283	0.9968081408210346	0.9324994666097717	0.9901795304588	0.9687048923558859	0.9923371647509579	0.9691129355226271
HG00122	9	5976895	116863	114005	0.01955245993111808	0.019074285226693792	0.9972346589412694	0.9333117601057088	0.9896468362413285	0.9684452827775824	0.9930563525766096	0.9680254973525935
HG00125	9	5977351	107369	104310	0.01796263930292867	0.01745087414140478	0.9954145694889752	0.9235975066785397	0.9880112044817927	0.9655633741638433	0.988845457145581	0.9612470703657273
HG00126	9	5977977	142693	138835	0.023869780696713954	0.023224411870437105	0.9977655275763333	0.9228152623923017	0.9904168457241083	0.9648832244290613	0.9935906703291407	0.9640675980925291
HG00127	9	5978260	133185	129595	0.02227822142228675	0.02167771224403087	0.9969636776390466	0.9226107226107226	0.9908428246013667	0.9656698367324501	0.9928181026060782	0.9645644846549584
HG00128	9	5977221	116292	113095	0.019455864188391226	0.018921000244093367	0.9972620937692382	0.9204378323339745	0.9896408120770432	0.9655697076170159	0.9922856445908037	0.9628747974068071
HG00129	9	5978360	144633	140691	0.02419275520376826	0.02353337704654788	0.9969998565148768	0.9229112447276318	0.9891016326181725	0.9644542586750788	0.9918503158605392	0.9679618553682714
HG00130	9	5977795	118838	115513	0.019879905550457988	0.01932368038716617	0.9963455308555288	0.92217287694974	0.9897126824959734	0.9649469877283546	0.9908059354087867	0.9637255893959324
HG00131	9	5977471	133512	130139	0.02233586745966647	0.02177158199512804	0.9979354035861757	0.9269291338582677	0.9907996840295525	0.9657597985548501	0.994515206654536	0.9705507510241238
HG00132	9	5978240	106944	103913	0.017888876993897868	0.017381871587624453	0.9969725571207237	0.9203521336914354	0.9897575371795614	0.964858157250698	0.9923740266426411	0.9585294776955839
HG00135	9	5977286	121251	117985	0.020285293358892315	0.019738891530370138	0.9973935572480959	0.9237373203719358	0.9894426331315013	0.964414529979023	0.9930143404799091	0.966924594143529
HG00136	9	5977942	111477	108451	0.018648056471608457	0.018141862199399058	0.9955104897492361	0.9270066722029724	0.9889290681502086	0.966393795777682	0.9895457602249801	0.9651952000868762
HG00137	9	5978697	143823	140152	0.0240559105102667	0.023441897122399746	0.9954327112371053	0.9311228503990109	0.9893708952644313	0.9683621878351463	0.9892527047359748	0.9691044523446758
