Sample	minDP	N_variants_by_WGS	N_variants_by_ATAC	N_overlap_variants_by_ATAC	Recovered_percentage	Correctly_performance_percentage	Sens_AA	Sens_AB	Sens_BB	Spec_AA	Spec_AB	Spec_BB
HG00096	4	5977376	558989	497653	0.09351745648926887	0.08325609765890585	0.998080883409391	0.6633372069952665	0.9850878553544127	0.8599137613435075	0.993251903472511	0.8726922963675444
HG00101	4	5976840	623466	550820	0.10431365069166984	0.09215906733323964	0.998303888638174	0.6349512854229005	0.9849999500664117	0.8544841317163463	0.9933829008326044	0.8632154734815334
HG00102	4	5977791	662778	588528	0.1108733978822612	0.09845242163869564	0.9982055334615231	0.6493604543550476	0.9853207921162369	0.8605231121112628	0.9923922672085873	0.8649660198955974
HG00103	4	5977588	543729	481013	0.09096127066636242	0.08046941341557833	0.9978814224834476	0.6409436320237862	0.9838875751026828	0.8565009122037585	0.9915791595653051	0.8627515180378617
HG00105	4	5977285	407104	362391	0.06810851414981886	0.06062802760785206	0.9979672983846359	0.6598080746952537	0.9858937920718025	0.8622558245181388	0.9932561936537233	0.8667639864278387
HG00106	4	5977220	533372	475268	0.089234125563389	0.07951321851964625	0.998564739231059	0.66135515532571	0.9861128473208705	0.860869484520775	0.994380248784492	0.8743664412893865
HG00107	4	5978455	572155	510588	0.09570281954116908	0.08540467395004228	0.9985274165260267	0.6614008773171077	0.9867938685818416	0.8638463916817443	0.9944005242062445	0.8739130434782608
HG00108	4	5978305	275332	244017	0.04605519457438187	0.04081708778658834	0.997941562478414	0.6459989030097212	0.9854478194014218	0.8577925817732732	0.9921495528112846	0.8650911651928946
HG00109	4	5976951	466333	415100	0.07802188774845234	0.06945012599233288	0.998268537140084	0.6626222640972284	0.9867560172885523	0.860346086500358	0.9940614195647752	0.8694259727252611
HG00111	4	5978625	473156	419641	0.07914127412239437	0.07019021932300487	0.9981600035276621	0.6448648648648648	0.9857122593457041	0.8566818278778203	0.9926379205021801	0.8730526748595184
HG00112	4	5978315	417571	367663	0.06984760756166244	0.06149943587783514	0.9978361781895873	0.6260883036405887	0.9835827822253161	0.8494621153950562	0.9913410356415728	0.867540773904701
HG00113	4	5978146	569528	509952	0.09526833235588425	0.08530270087080509	0.9985218897122856	0.6719363791027735	0.9888479838102004	0.8653049894751451	0.9947618131155497	0.8818215852476169
HG00114	4	5978720	223997	198530	0.03746571172424867	0.033206104316643024	0.9968064920543489	0.646686004350979	0.9808352480064874	0.8591171918348276	0.9874872658014794	0.8666141243342648
HG00115	4	5977781	509468	456598	0.08522694290740995	0.07638252388302616	0.9988352714266989	0.6767250831761705	0.9889320716458263	0.8651075286256447	0.9957682201631863	0.8837487730954666
HG00116	4	5978867	241442	213062	0.040382567466377826	0.03563584873187512	0.9941118359154488	0.6393462518710303	0.9781837397146523	0.8568599889169719	0.9794855903315773	0.8626589441448639
HG00117	4	5978294	261542	232360	0.043748601189570135	0.03886727551371679	0.9986293958521191	0.6412172173186268	0.985551763367463	0.8645811214229506	0.9938954971931064	0.8580965965371052
HG00118	4	5976612	568657	508722	0.09514704986704842	0.08511879305532967	0.9989020641194554	0.6739924289306283	0.9884862778730703	0.8633088273937086	0.9956760585420493	0.8803490614676621
HG00119	4	5977060	589517	526389	0.09862992842635007	0.08806821413872372	0.9984377785340399	0.6649935551526008	0.9871897027275514	0.862816218154115	0.9939913952861843	0.8785570122006655
HG00120	4	5976920	489151	437363	0.08183997778119834	0.07317531437596622	0.9985035438270206	0.6712343984839574	0.9868051831435591	0.8641380429710483	0.9940580453485334	0.8783468762488345
HG00121	4	5978357	593025	528541	0.09919531403025948	0.08840907292756187	0.9979269837613728	0.6602736585871707	0.9843132817643186	0.8629236608279022	0.9908755835858792	0.8743455497382199
HG00122	4	5976895	528965	471426	0.08850163839250982	0.07887473345273759	0.9983891390238328	0.667119978527333	0.9856444252518061	0.8614256244267545	0.9935860990690072	0.8711317874236673
HG00125	4	5977351	509363	451792	0.08521550767221132	0.0755839836074542	0.9972437806455494	0.6487247642554269	0.9850835392054702	0.8589690855208822	0.9899847404917811	0.8667813652566295
HG00126	4	5977977	649612	578755	0.10866753083860978	0.09681452437839758	0.9986625406482744	0.6573022534258836	0.9864682645193148	0.8612385004108567	0.994321130659125	0.8750694947520933
