Sample	minDP	N_variants_by_WGS	N_variants_by_ATAC	N_overlap_variants_by_ATAC	Recovered_percentage	Correctly_performance_percentage	Sens_AA	Sens_AB	Sens_BB	Spec_AA	Spec_AB	Spec_BB
HG00096	10	6569664	115461	108955	0.01757487140894877	0.01658456201108611	0.9487887514822971	0.9225464190981433	0.9806737493993913	0.963843188545467	0.9874229906595122	0.8300497062810664
HG00101	10	6569628	100329	94726	0.015271640951359803	0.014418776831808438	0.9493847447263833	0.9213020703417311	0.9838577978770178	0.9647399180630255	0.9900154124505797	0.8252897787144362
HG00102	10	6569573	116916	110358	0.017796590432894194	0.016798352039013798	0.9484715583370292	0.9230540379726294	0.979803808424697	0.965439983948904	0.9874717898269776	0.828476380572189
HG00103	10	6569561	102847	96673	0.015655079540322404	0.014715290717294504	0.9467813894200128	0.9138720908924317	0.979056029596038	0.9621847138611598	0.9859628311585606	0.8201129604638376
HG00105	10	6569555	99442	93536	0.015136793892432592	0.014237798450579986	0.9484986881741327	0.9125826557408169	0.9819902319902319	0.9621678101096128	0.9875376609148179	0.8244490005125577
HG00106	10	6569584	116883	110216	0.017791537485478532	0.016776709149315998	0.9481696629776153	0.9188499946311608	0.9832184141147841	0.9634479366317825	0.9892202762846078	0.8314611558909278
HG00107	10	6569493	118775	112008	0.018079781803557748	0.01704971753528012	0.9486479059918859	0.9196907079056126	0.9813430912745452	0.9645187266840869	0.9890465949820788	0.8260379159255564
HG00108	10	6569521	55661	52613	0.008472611625718222	0.00800865085902001	0.9485837118191589	0.9250596116725333	0.9821816601477619	0.9663405502772578	0.9867377217949495	0.8343331795108445
HG00109	10	6569580	100838	94974	0.01534923084885183	0.014456631930808362	0.9483451421915947	0.9181829136040487	0.9822657654864513	0.9627731903907928	0.9891928731379612	0.8215434083601286
HG00111	10	6569505	73431	69280	0.011177554473282234	0.010545695604158913	0.9481015324661646	0.9226203185719776	0.9799767364572948	0.9657752863235255	0.9854497354497355	0.8292322834645669
HG00112	10	6569515	51142	48325	0.0077847451448090155	0.007355946367425906	0.9480010650842557	0.9260643185298622	0.9799484052532833	0.964548339654772	0.9838604711701159	0.8409136647212719
HG00113	10	6569654	114519	108072	0.01743151161385364	0.016450181394636613	0.947985954012898	0.9227041167561614	0.982182393252504	0.9659401716752963	0.9878246513958905	0.8293790340529713
HG00114	10	6569509	44913	42365	0.006836583982151482	0.006448731556650581	0.9471597276096888	0.92274042192902	0.9786415494826214	0.9652991302819994	0.980948094809481	0.8368689733408962
HG00115	10	6569620	107869	101965	0.01641936672136288	0.01552068460580673	0.9493187225145988	0.9253030782964264	0.9847661116774267	0.9652543615305673	0.9920348244882837	0.8316116690578671
HG00116	10	6569448	45323	42710	0.006899057576831417	0.006501307263563088	0.9445690348241865	0.9261938202247191	0.9769127516778523	0.9664054720983593	0.9775422472576342	0.8334860284012826
HG00117	10	6569502	56400	53378	0.008585125630527246	0.008125121204012115	0.9532414497192445	0.9201821804725306	0.9827513227513227	0.9661630794701986	0.9901372212692967	0.8378744135691086
HG00118	10	6569777	119245	112577	0.01815053996505513	0.01713558922928434	0.9487470029888002	0.9232528850849462	0.9838510594527875	0.9649096435848615	0.9901593252108716	0.8283895552764907
HG00119	10	6569540	117187	110405	0.017837930814029596	0.016805590650182507	0.9475566742287502	0.9184435963812014	0.9828219589175764	0.9631063385734002	0.9891073173535667	0.8266243091518343
HG00120	10	6569558	114375	107551	0.01740984705515957	0.016371116595667472	0.9471003861654946	0.9152667781096708	0.9812732066942905	0.9627179074032808	0.9887504070576394	0.8192928067574247
HG00121	10	6569512	113894	107547	0.017336751953569762	0.01637062235368472	0.9474935874568958	0.925837056649567	0.9814035274684286	0.96650551887855	0.988224557684948	0.8291167732060862
HG00122	10	6569690	111111	104878	0.016912670156430516	0.015963919149914227	0.9478377330560744	0.9264603664470209	0.9790738123709098	0.9664181115802714	0.9874648096014225	0.8296715950439869
HG00125	10	6569583	102095	95971	0.015540560184717965	0.014608385341961582	0.9459666017043066	0.9160813422077723	0.9786055730441879	0.9628736459285478	0.9829844655081622	0.8272718312635522
HG00126	10	6569564	135776	127721	0.020667429375830725	0.01944132061123082	0.948634646210213	0.9132633127255176	0.980574286607422	0.9616963858218591	0.9890976975731176	0.8230751930429567
HG00127	10	6569571	127973	120433	0.019479658565224427	0.018331942831579108	0.947114303279303	0.9160930185987134	0.981062204096939	0.963512111782293	0.9873735329825981	0.8255364468286526
HG00128	10	6569547	110848	104243	0.016873005094567402	0.015867608527650384	0.9466369725847662	0.9146838094129967	0.9801574463496172	0.9634529896508707	0.9869123093340029	0.8235400715806641
HG00129	10	6569583	134596	126630	0.02048775394115578	0.019275196005591223	0.9466413597248584	0.9159019603217664	0.9805711187420929	0.9618920564948812	0.9865331842666938	0.8258619377425984
HG00130	10	6569511	114686	107797	0.017457311510704527	0.016408679428347103	0.945754281008957	0.915895083054642	0.9798926202758185	0.9620670792163835	0.9854581140155232	0.8251407295775897
HG00131	10	6569566	125493	118328	0.01910217509040932	0.01801153987949889	0.9491320269048676	0.9192631339549693	0.9812618021594925	0.9633160202780456	0.9894198602007235	0.8298935298935299
HG00132	10	6569706	102846	96605	0.01565458180320398	0.01470461539679249	0.9469724113221067	0.9118263245787156	0.9802156142637128	0.9619930652669489	0.9858835888513181	0.8198573127229488
HG00135	10	6569569	112992	106374	0.017199301811123377	0.016191929790219113	0.9477249902122662	0.9171046411390117	0.9802012688689564	0.9625365212731013	0.9881055816879888	0.823167370935146
HG00136	10	6569540	105821	99691	0.016107824900982413	0.015174730650852267	0.9468817950920021	0.9204733727810651	0.9803400023129409	0.96438009453977	0.9842766300737131	0.8279128821173942
HG00137	10	6569545	134184	126435	0.02042515881997916	0.01924562507753581	0.9448954172572263	0.9241208402171348	0.9800136580924198	0.9659714599341384	0.9837692520288435	0.8260802824468494
HG00138	10	6569595	110971	104430	0.016891604429192363	0.015895957056713542	0.9467977371141221	0.9172497119896598	0.981501932633904	0.9637601308118868	0.9874168179068361	0.8211299487226867
HG00140	10	6569566	124316	117107	0.018923015614730105	0.01782568285332699	0.9476765228885706	0.9191514759642884	0.9817589259655608	0.9624432653583073	0.9892139282177556	0.8278167425454247
HG00141	10	6569691	129046	121760	0.019642628549805464	0.018533596176745604	0.9494049407946145	0.9198502239299087	0.9814669316448675	0.9646690587067716	0.9890792347569801	0.8311545988258316
HG00142	10	6569599	153645	144446	0.023387272191194623	0.021987034520676223	0.9478779232689662	0.912543546990475	0.9806499725253159	0.9605038979813103	0.9862023939064201	0.8267977100499686
HG00143	10	6569647	130564	123047	0.01987382274877174	0.0187296212414457	0.9476194013221422	0.9209598409730932	0.9811356707317073	0.9643667039579112	0.9884184593503162	0.8223597524455979
HG00145	10	6569564	101208	94964	0.015405588559606087	0.014455144968524547	0.9443308339013861	0.9157380743708526	0.9768360894941635	0.9626684167857005	0.9864122188880272	0.8138074254166033
HG00146	10	6569559	203825	191762	0.031025674630519338	0.02918947831962541	0.9458496140283998	0.9168507151234521	0.9821912038986824	0.9628063095399779	0.9858656665083446	0.8227082598397419
HG00148	10	6569554	144288	135905	0.021963134788145437	0.020687096871416233	0.9474442240278268	0.9211919688241275	0.9807872539831303	0.9634142971621211	0.9892421761280932	0.8239567675900079
HG00149	10	6569644	122457	114570	0.018639822797095244	0.017439301124992465	0.9472497101196055	0.9011574311174844	0.9795089984350548	0.9563488245293307	0.9890671987858689	0.8169100252875439
HG00150	10	6569506	114819	107368	0.01747756985076199	0.016343390203159874	0.9448999727817093	0.9022246485601201	0.9789175257731959	0.9578540757729914	0.9819667260843732	0.8196374622356496
HG00151	10	6569538	131272	123586	0.019981922625304856	0.018811977341481243	0.9467012895559175	0.918299864838772	0.9814088665405729	0.9647037718078665	0.9849590970280625	0.8260785151244515
HG00152	10	6569498	83872	78910	0.012766881122423662	0.01201157226929668	0.9456245670745786	0.9185114866147712	0.9773669782807338	0.9639646001035636	0.982533815345871	0.8293075684380032
HG00154	10	6569459	125506	117546	0.019104465070868087	0.01789279756521808	0.9450260158572844	0.9057367772440331	0.9804903396475979	0.9588498703747349	0.9851730269456983	0.8202007429068205
HG00155	10	6569561	104328	98204	0.015880513172798	0.014948335208395204	0.9475945176947539	0.9147558254833912	0.9812940983427227	0.9620685748810512	0.9871593379033606	0.8360594622302996
HG00156	10	6569563	112893	106006	0.017184248023803105	0.01613592867592563	0.9481435386849202	0.9098872554437936	0.980268392298308	0.9593535749265426	0.9882349410246406	0.8251183141351907
HG00157	10	6569604	128688	120845	0.01958839528227272	0.018394563812369816	0.9472164384394425	0.9113322723925797	0.9827320827320827	0.9608855860995051	0.9881528793654064	0.8172726909076363
HG00158	10	6569499	114749	108071	0.01746693317100741	0.016450417299705807	0.9480994276928334	0.9185819919382825	0.9811763451181145	0.9623034107263616	0.9865821841222512	0.8288661651425739
HG00159	10	6569568	119942	112799	0.018257212650816614	0.017169926546159505	0.9488314562853981	0.9124925961216553	0.9822036914628566	0.9616494845360825	0.9885888064282127	0.8228753993610224
HG00231	10	6569584	115097	108137	0.017519678567166505	0.0164602507556034	0.9461408259986459	0.914319692956376	0.981018981018981	0.9616033029416824	0.9849755415793152	0.8247358882553154
HG00232	10	6569418	120890	111280	0.018401934539711128	0.016939095670270944	0.9289869008023456	0.896513175405909	0.9513605955434837	0.9572491310138713	0.9391852326910743	0.8061889945015132
HG00233	10	6569511	106000	99630	0.016135143087514427	0.01516551231895342	0.9471374573614825	0.9140710777232014	0.9814048382395802	0.9619475655430711	0.9855758746378391	0.8212282327691333
HG00234	10	6569501	110764	103678	0.016860336880989896	0.015781716145564176	0.9461944790551569	0.9034938516019295	0.9810804777318897	0.9587289732920801	0.9863322273294572	0.8110265282583622
HG00237	10	6569657	101741	95776	0.015486501045640587	0.014578538879579253	0.9494657424074145	0.9145921691560637	0.9792120605382486	0.962048157705815	0.9884740583272438	0.8274283439490446
HG00238	10	6569642	121965	114477	0.018564938546118646	0.017425150411544497	0.9465572231126653	0.9118803697116951	0.9815536374845869	0.9596546516971965	0.9873077861850135	0.8234442237669646
HG00239	10	6569643	117293	110490	0.017853785966756488	0.016818265467392977	0.948180412628219	0.9156187054276226	0.983581650656734	0.9629241938206989	0.9889166544171689	0.834539254823686
HG00242	10	6569588	118873	111731	0.018094437581169475	0.017007307003118005	0.9476412732763771	0.913338952692024	0.980358083201685	0.961208944221476	0.9879758377023022	0.8189776526482492
HG00243	10	6569666	112413	105182	0.017110915532083368	0.016010250749429272	0.9470328761458405	0.9012024432331753	0.9823147526304007	0.9559273688604425	0.9903678285473482	0.8090343397096105
HG00244	10	6569587	71400	67408	0.010868263103905923	0.01026061455613572	0.9502218109571892	0.9208407676574264	0.9815893132385682	0.9639159603544905	0.9901731399157697	0.8301107973061047
HG00245	10	6569485	123576	116185	0.018810606919720495	0.01768555678260929	0.9474867054950621	0.9133227935456347	0.981842963539892	0.960915555127526	0.9881621460182998	0.8251513663884797
HG00246	10	6569590	123947	116543	0.01886677859653342	0.017739767626290225	0.9434478045446779	0.9208169478624889	0.9800982679041144	0.9642811785623572	0.9831509372629754	0.821498398435875
HG00255	10	6569658	99719	93536	0.015178720109935708	0.014237575228421328	0.9468393883315477	0.9069774837806894	0.9809327036599764	0.960820748003479	0.9867824642745926	0.821403855659911
HG00262	10	6569560	118998	111572	0.018113541850595778	0.016983176955534314	0.949028649921507	0.9035645421856272	0.9808917197452229	0.9579103738549146	0.9885401522278287	0.8183766178109196
HG00263	10	6569533	143355	135013	0.0218211857676946	0.02055138470268739	0.9460871901659166	0.920962501097743	0.9804894745849735	0.9641566265060241	0.9857129429457656	0.8255340610252531
HG00264	10	6569512	94066	88134	0.014318567345641502	0.013415608343511664	0.9500968393291301	0.8977002379064235	0.9830364160335342	0.9557683538531692	0.990051382967093	0.8166385548724088
HG00265	10	6569573	156011	146985	0.023747509921877723	0.02237360023246564	0.947943708156852	0.9182615792695368	0.9808243998188132	0.9642685669522149	0.9869081818381176	0.8311156601842374
HG01789	10	6569556	143898	135116	0.021903763359350313	0.020566991133038517	0.9488432051021101	0.9077901430842608	0.9811472291499345	0.9589933484193924	0.9882358444231354	0.8223269326153192
HG01790	10	6569536	106033	99514	0.01614010487194225	0.01514779734824499	0.9481589325863403	0.9067724898602317	0.9831428571428571	0.9604965929244843	0.9885167159716258	0.8180780752222909
HG01791	10	6569523	131171	123775	0.019966594226095258	0.018840789506330977	0.9501628519162986	0.9180736624634893	0.9835937858026672	0.9631695587281964	0.988949428286394	0.8336116829145143
HG02215	10	6569448	120961	113960	0.01841265811069667	0.01734696735555255	0.947310402121643	0.9172064132512211	0.9818805566293003	0.9637075802886491	0.9868620226772913	0.8321457821457822
