Sample	minDP	N_variants_by_WGS	N_variants_by_ATAC	N_overlap_variants_by_ATAC	Recovered_percentage	Correctly_performance_percentage	Sens_AA	Sens_AB	Sens_BB	Spec_AA	Spec_AB	Spec_BB
HG00096	6	6569664	247047	227027	0.03760420624251103	0.03455686622633973	0.9509144997796386	0.8407445967812747	0.9813471759972182	0.9252392985680373	0.9891091008367399	0.8114141372653715
HG00101	6	6569628	251920	230214	0.03834615902148493	0.03504216677108658	0.9513724660566818	0.8197616495365407	0.9828416765991259	0.9196392053754017	0.989556851223188	0.8026809434000527
HG00102	6	6569573	282400	258684	0.04298605099600842	0.039376075126952695	0.9507147111375819	0.8281492651527087	0.9815664176822609	0.9230698462974036	0.9880771761167577	0.8062212973593571
HG00103	6	6569561	229731	209747	0.03496900325607754	0.03192709528079578	0.9485423530883763	0.8243503899038329	0.9796049806784027	0.9211577250524509	0.9866756814696328	0.7998071909029162
HG00105	6	6569555	190045	173976	0.028928138968316728	0.02648215898945971	0.9475454822644578	0.8341064210456564	0.9808571154645106	0.9259472612603665	0.9879328951241048	0.7993749186091939
HG00106	6	6569584	241321	221904	0.03673307168307765	0.03377748119211201	0.9507772437185525	0.8392560958090088	0.9832911894491546	0.9265511056106903	0.9898947887302247	0.8138375361634897
HG00107	6	6569493	254913	234090	0.03880253773008054	0.035632886738748336	0.9499254240336978	0.8365362960738684	0.9821488716739643	0.9275875697117848	0.9900786305548563	0.8044454953889808
HG00108	6	6569521	113275	104006	0.01724250519938973	0.015831595636881288	0.9488503690068347	0.8400424320250126	0.9794484080502609	0.9284677863206524	0.9868818050636232	0.805993690851735
HG00109	6	6569580	207174	190075	0.03153534929173554	0.02893259538661528	0.949625410074918	0.8389314564029461	0.9823302538344246	0.9250350239444745	0.9891624063309755	0.8043675178103655
HG00111	6	6569505	176347	161738	0.02684327053560352	0.024619510906833925	0.9494472493036211	0.8352623526235262	0.9801647743007477	0.9257259253758262	0.986856936262521	0.8074543017651924
HG00112	6	6569515	137861	126043	0.020984958554779158	0.019186043414163755	0.9497813533665975	0.8241376933152561	0.9811706383718908	0.9188349988474732	0.9859518900343642	0.8135208220659816
HG00113	6	6569654	247490	227737	0.03767169473460855	0.03466499148965836	0.9495617097199597	0.8438903317426404	0.9831753964915754	0.9293539741711144	0.9891429856789383	0.8094394198647438
HG00114	6	6569509	90216	82760	0.013732533131471469	0.012597592909911533	0.9471671509143736	0.8417679168867759	0.9752214747219077	0.9285205663064422	0.9805948717948718	0.8092079809871221
HG00115	6	6569620	224071	206639	0.034107147749793745	0.0314537218286598	0.9492011009746049	0.8516341962706625	0.9847527771727292	0.9302710268481995	0.9922444145181964	0.8117971853747222
HG00116	6	6569448	94813	86689	0.014432415021779608	0.013195781441606661	0.9439401597088851	0.8374394184168013	0.974801739575339	0.9265388736754375	0.9776049033474776	0.8036062635103074
HG00117	6	6569502	111746	102756	0.017009812920370525	0.015641368249830808	0.9530154397338565	0.8329361850517262	0.9819969015438859	0.9288802421098141	0.9899495751882296	0.8114240310761897
HG00118	6	6569777	254801	234507	0.038783812601249634	0.035694818865236976	0.9503852127277039	0.844597639550321	0.98399657069372	0.9273274259650485	0.9910391447885553	0.8121990053663043
